BOPD,BWPD,GasRateMscf
651,976,1712
89,719,1284
188,3579,1269
648,971,1623
178,3373,1165
183,3468,1311
647,970,1584
52,600,1074
55,629,1104
636,954,1687
185,3510,1339
631,947,1556
53,611,1376
179,3402,1391
631,946,1578
645,968,1648
58,661,1610
186,3526,1430
645,967,1687
55,495,1571
181,3439,1358
655,983,2271
183,3468,1328
58,517,1537
658,908,2245
185,3508,1590
57,510,1435
654,941,2265
50,574,1266
187,3552,1302
659,949,2031
51,587,1272
183,3470,1505
655,942,1935
50,571,1249
50,576,1309
181,3441,1523
642,963,1961
594,1011,2178
62,560,1583
189,4541,1519
197,4716,1521
803,5984,3870
545,1271,2281
545,1271,2281
56,564,1617
232,5571,1645
54,623,1619
531,1128,2186
542,1100,2390
208,3574,1702
56,645,1342
221,3458,1724
225,3523,1731
521,1011,2293
52,601,1544
523,971,2311
208,3261,1495
53,606,1640
512,952,2412
49,560,1652
211,3311,1501
230,3598,1877
197,3737,1434
31,597,1764
539,1095,2334
134,2093,900
33,624,1444
194,3679,1062
552,1072,2310
26,494,1453
198,3765,1311
557,1081,2334
32,600,1514
554,1029,2245
196,3728,1334
24,586,1607
547,1016,2292
197,3750,1843
551,1024,2284
25,599,1715
198,3107,1397
526,977,2296
22,527,1715
536,1041,2180
197,3088,1385
196,3076,1244
199,3112,1277
26,626,1677
526,1021,2147
202,3167,1268
26,613,1628
527,1022,2108
206,3221,1266
519,1008,2076
22,539,1474
201,3145,1316
24,573,1481
481,894,1969
482,895,2645
183,2872,1314
462,858,2288
204,3201,1248
522,968,2058
452,143,1418
189,2967,1294
480,891,1990
487,904,1957
25,589,1295
485,901,2099
25,610,1297
181,2837,1116
476,883,2098
182,2856,1079
27,735,1307
484,899,2024
570,855,2135
152,2882,1057
21,505,1279
559,741,1952
19,464,1225
150,2854,1080
556,737,1948
174,3414,2232
575,762,1914
148,2819,1054
28,670,1173
161,3067,950
161,3062,951
576,764,1923
594,1319,3161
160,3047,1105
32,614,1172
163,3089,889
576,733,1755
38,602,1077
45,594,1067
183,2863,1137
536,682,1878
46,532,973
183,2870,1316
506,759,1925
47,582,977
198,3095,1265
504,822,1605
49,647,796
516,957,1640
531,796,1599
158,2999,946
53,613,990
571,856,1601
160,3032,763
544,816,1433
160,3045,711
60,692,740
543,815,1426
163,3091,663
66,669,635
556,907,1209
159,3020,488
67,674,328
557,835,1217
165,3131,594
62,717,645
556,869,1481
168,3190,628
57,760,760
162,3071,490
500,888,1572
55,734,897
168,3200,544
487,904,1467
177,3045,583
55,730,863
479,929,1421
56,738,827
161,3065,779
193,3024,777
56,745,880
482,936,1415
193,3027,781
64,730,837
487,945,1432
192,3002,795
483,937,1434
66,756,857
165,3127,867
488,947,1429
163,3093,878
66,754,857
487,945,1566
166,3161,883
65,750,861
652,4111,2614
64,735,861
487,905,1764
164,3111,1031
64,741,875
166,3146,1043
488,906,1672
67,769,861
166,3145,1037
506,939,1621
66,759,826
486,902,1671
162,3076,1033
66,755,803
489,909,1578
164,3114,1010
63,726,797
493,1000,1734
612,4267,2454
627,4272,2594
622,4260,2598
609,4052,2579
135,3233,900
135,3230,923
63,729,856
473,960,1659
137,3281,926
60,802,829
491,1043,1736
58,767,867
168,3200,901
490,1041,1701
64,734,865
166,3158,909
477,1013,1730
464,1083,1742
75,863,899
168,3185,941
471,1099,1769
75,861,896
167,3172,966
482,1125,1743
76,874,762
171,3244,1003
516,1204,1508
73,844,760
171,3243,907
533,1134,1697
74,849,788
502,1068,1662
75,858,788
502,1067,1626
72,826,807
526,1117,1577
155,2949,797
56,873,799
519,1102,1508
158,2997,736
59,847,835
522,1110,1634
532,1131,1692
66,3221,832
57,892,893
592,1099,1742
65,3204,935
56,879,871
591,1098,1785
67,3288,945
61,961,880
588,1093,1739
